Store,Assortment,CompetitionDistance,PromoSinceWeek,PromoSinceYear,PromoInterval
1,Small,1270.0,,,
2,Small,570.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,Small,14130.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,Large,620.0,,,
5,Small,29910.0,,,
6,Small,310.0,,,
7,Large,24000.0,,,
8,Small,7520.0,,,
9,Large,2030.0,,,
10,Small,3160.0,,,
11,Large,960.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,Large,1070.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,Small,310.0,45.0,2009.0,"Feb,May,Aug,Nov"
14,Small,1300.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,Large,4110.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,Large,3270.0,,,
17,Small,50.0,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,Large,13840.0,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,Large,3240.0,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,Small,2340.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,Large,550.0,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,Small,1040.0,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,Small,4060.0,,,
24,Large,4590.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
25,Small,430.0,,,
26,Small,2300.0,,,
27,Small,60.0,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,Small,1200.0,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,Large,2170.0,,,
30,Small,40.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
31,Large,9800.0,,,
32,Small,2910.0,45.0,2009.0,"Feb,May,Aug,Nov"
33,Large,1320.0,,,
34,Small,2240.0,,,
35,Large,7660.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,Large,540.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,Small,4230.0,,,
38,Small,1090.0,,,
39,Small,260.0,31.0,2013.0,"Feb,May,Aug,Nov"
40,Small,180.0,45.0,2009.0,"Feb,May,Aug,Nov"
41,Large,1180.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,Large,290.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,Small,4880.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,Small,540.0,,,
45,Small,9710.0,,,
46,Small,1200.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,Large,270.0,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,Small,1060.0,,,
49,Large,18010.0,,,
50,Small,6260.0,,,
